"","izornotrueof2004","var3","year","medianincomeratiotoavgmedinc","percentbelowpovertyline","ginicoeff","yearssinceimplementation2015y","municipality","PanelReady","AdoptionWave","IntAdoptionWave","medianmeanratio","percentwbachelors","PctBlack","inequality"
"1",0,"N",2011,0.906075775623322,3.59999990463257,0.367900013923645,0,1,1,NA,NA,0.939723432064056,18.7999992370605,0.0198038723319769,0.0602765679359436
"2",0,"N",2010,0.849563181400299,4.19999980926514,0.370999991893768,0,1,1,NA,NA,0.890774488449097,20.3999996185303,0.0146455401554704,0.109225511550903
"3",0,"N",2012,0.835388839244843,2.5,0.370799988508224,0,1,1,NA,NA,0.882856130599976,18.7999992370605,0.0224105454981327,0.117143869400024
"4",0,"N",2013,0.856669366359711,2.09999990463257,0.397899985313416,0,1,1,NA,NA,0.838861882686615,20.7999992370605,0.0361046902835369,0.161138117313385
"5",0,"N",2014,0.877875745296478,1.5,0.391200006008148,0,1,1,NA,NA,0.861412942409515,22.1000003814697,0.0236303713172674,0.138587057590485
"6",1,"Y",2012,1.25540852546692,1.79999995231628,0.429500013589859,22,2,1,1,1.79999995231628,0.813622713088989,33.2000007629395,0.0124906441196799,0.186377286911011
"7",1,"Y",2010,1.20189917087555,2.5,0.418999999761581,20,2,1,1,2.5,0.806837141513824,31.5,0.01085149589926,0.193162858486176
"8",1,"Y",2013,1.20850539207458,0.800000011920929,0.436199992895126,23,2,1,1,0.800000011920929,0.791882991790771,30.3999996185303,0.0106019927188754,0.208117008209229
"9",1,"Y",2014,1.30189514160156,0.899999976158142,0.4341000020504,24,2,1,1,0.899999976158142,0.823488116264343,30.7999992370605,0.0126508455723524,0.176511883735657
"10",1,"Y",2011,1.21462762355804,2.29999995231628,0.420800000429153,21,2,1,1,2.29999995231628,0.81232613325119,30.2999992370605,0.00689838174730539,0.18767386674881
"11",1,"Y",2010,0.853879988193512,1.5,0.421999990940094,NA,3,0,NA,NA,0.830762386322021,23.7999992370605,0.00412942981347442,0.169237613677979
"12",1,"Y",2014,0.823619782924652,2.29999995231628,0.42289999127388,NA,3,0,NA,NA,0.788627922534943,25.3999996185303,0.00522530265152454,0.211372077465057
"13",1,"Y",2012,0.87814325094223,2.09999990463257,0.413199990987778,NA,3,0,NA,NA,0.824667274951935,24.6000003814697,0.00367107195779681,0.175332725048065
"14",1,"Y",2011,0.879629075527191,1.70000004768372,0.448100000619888,NA,3,0,NA,NA,0.784667432308197,24.8999996185303,0.00213037920184433,0.215332567691803
"15",1,"Y",2013,0.857663750648499,2.70000004768372,0.412600010633469,NA,3,0,NA,NA,0.831886529922485,24.6000003814697,0.00888002943247557,0.168113470077515
